Year,Race,Driver,Team,LapNumber,LapTime_seconds,Position,TireCompound,TireAge,PositionGroup,driver_win_rate,start_position,positions_gained,tire_degradation,race_phase,team_reliability
2025,16,PIA,McLaren,25.0,83.27,3.0,MEDIUM,25.0,Top 5,0.0,3.0,0.0,0.5259999999999962,Middle,83.33333333333334
2025,16,PIA,McLaren,26.0,83.047,3.0,MEDIUM,26.0,Top 5,0.0,3.0,0.0,-0.22299999999999898,Middle,83.33333333333334
2025,16,PIA,McLaren,27.0,82.796,3.0,MEDIUM,27.0,Top 5,0.0,3.0,0.0,-0.25099999999999056,Middle,83.33333333333334
2025,16,PIA,McLaren,28.0,82.845,3.0,MEDIUM,28.0,Top 5,0.0,3.0,0.0,0.04899999999999238,Middle,83.33333333333334
2025,16,PIA,McLaren,29.0,82.7,3.0,MEDIUM,29.0,Top 5,0.0,3.0,0.0,-0.14499999999999602,Middle,83.33333333333334
2025,16,PIA,McLaren,30.0,82.92,3.0,MEDIUM,30.0,Top 5,0.0,3.0,0.0,0.21999999999999886,Middle,83.33333333333334
2025,16,PIA,McLaren,31.0,82.816,3.0,MEDIUM,31.0,Top 5,0.0,3.0,0.0,-0.1039999999999992,Middle,83.33333333333334
2025,16,PIA,McLaren,32.0,82.576,3.0,MEDIUM,32.0,Top 5,0.0,3.0,0.0,-0.2400000000000091,Middle,83.33333333333334
2025,16,PIA,McLaren,33.0,83.271,3.0,MEDIUM,33.0,Top 5,0.0,3.0,0.0,0.6950000000000074,Middle,83.33333333333334
2025,16,PIA,McLaren,34.0,82.669,3.0,MEDIUM,34.0,Top 5,0.0,3.0,0.0,-0.6020000000000039,Middle,83.33333333333334
2025,16,PIA,McLaren,35.0,82.588,3.0,MEDIUM,35.0,Top 5,0.0,3.0,0.0,-0.08100000000000307,Middle,83.33333333333334
2025,16,PIA,McLaren,36.0,82.232,3.0,MEDIUM,36.0,Top 5,0.0,3.0,0.0,-0.35599999999999454,Middle,83.33333333333334
2025,16,PIA,McLaren,37.0,82.425,3.0,MEDIUM,37.0,Top 5,0.0,3.0,0.0,0.19299999999999784,Middle,83.33333333333334
2025,16,PIA,McLaren,38.0,82.558,2.0,MEDIUM,38.0,Top 5,0.0,3.0,1.0,0.13300000000000978,Middle,83.33333333333334
2025,16,PIA,McLaren,39.0,82.402,2.0,MEDIUM,39.0,Top 5,0.0,3.0,1.0,-0.1560000000000059,Middle,83.33333333333334
2025,16,PIA,McLaren,40.0,82.296,2.0,MEDIUM,40.0,Top 5,0.0,3.0,1.0,-0.10599999999999454,Middle,83.33333333333334
2025,16,PIA,McLaren,41.0,82.619,2.0,MEDIUM,41.0,Top 5,0.0,3.0,1.0,0.3229999999999933,Late,83.33333333333334
2025,16,PIA,McLaren,42.0,82.419,2.0,MEDIUM,42.0,Top 5,0.0,3.0,1.0,-0.20000000000000284,Late,83.33333333333334
2025,16,PIA,McLaren,43.0,82.369,2.0,MEDIUM,43.0,Top 5,0.0,3.0,1.0,-0.04999999999999716,Late,83.33333333333334
2025,16,PIA,McLaren,44.0,82.404,2.0,MEDIUM,44.0,Top 5,0.0,3.0,1.0,0.03499999999999659,Late,83.33333333333334
2025,16,PIA,McLaren,45.0,86.609,2.0,MEDIUM,45.0,Top 5,0.0,3.0,1.0,4.204999999999998,Late,83.33333333333334
2025,16,PIA,McLaren,46.0,101.402,3.0,SOFT,4.0,Top 5,0.0,3.0,0.0,-0.018999999999991246,Late,83.33333333333334
